"Scenario","Median","Lower95","Upper95","Median_proxy","proxy_Lower95","proxy_Upper95"
"Exclude1889",5630.15723450654,1984.29184641769,27514.6214411989,0.296283401918019,0.0602026647126406,0.834517417118775
"Exclude1889_2009",5625.08139564785,1782.59187674177,35425.4553773737,0.296728625906695,0.0468140988022692,0.929159597499929
"Exclude2009",6624.31818431663,2647.44847970235,24551.8935484908,0.251914422453522,0.0668702504794382,0.626126682366636
