meannh,cum.prob
1487.9376136351,0.001
1604.20049175098,0.002
1632.08096858111,0.003
1723.15840842694,0.004
1733.18187331638,0.005
1793.33134152162,0.006
1828.1923783677,0.007
1837.80604022443,0.008
1877.55048764691,0.009
1888.69819992555,0.01
1917.89487639441,0.011
1951.05587740348,0.012
1961.30473838309,0.013
1989.21443754267,0.014
2006.88165976639,0.015
2009.68166866812,0.016
2035.32074000685,0.017
2054.70787114322,0.018
2061.06053661175,0.019
2075.07050958187,0.02
2088.35736501233,0.021
2102.73707491066,0.022
2121.98013159825,0.023
2134.20721622039,0.024
2141.28287189351,0.025
2154.43742467921,0.026
2168.61306081863,0.027
2179.77855336519,0.028
2183.93046359736,0.029
2204.28624283574,0.03
2207.34154525178,0.031
2215.8612263932,0.032
2229.32855498305,0.033
2240.4251013002,0.034
2254.75867917267,0.035
2260.79365253145,0.036
2271.43272183976,0.037
2284.17805094554,0.038
2292.41708193274,0.039
2296.48485817275,0.04
2306.30638655945,0.041
2314.89053477705,0.042
2326.62672750824,0.043
2329.71517111818,0.044
2340.5557814272,0.045
2347.58895927797,0.046
2361.81095443412,0.047
2369.51778477425,0.048
2376.18349636263,0.049
2384.67321498664,0.05
2392.84532678616,0.051
2397.89175114771,0.052
2405.7470099111,0.053
2410.63177455927,0.054
2422.78656282513,0.055
2425.14670166001,0.056
2438.80290907572,0.057
2440.01983938152,0.058
2447.58320581445,0.059
2458.78101831811,0.06
2463.73285350715,0.061
2473.34534427301,0.062
2477.68315800994,0.063
2487.31848588014,0.064
2492.69268724836,0.065
2495.84394617013,0.066
2505.3758578218,0.067
2510.72309731956,0.068
2520.03514298669,0.069
2524.16547939654,0.07
2532.73450314627,0.071
2535.61509681046,0.072
2544.45954842116,0.073
2554.36291381848,0.074
2554.92681496713,0.075
2566.01252546745,0.076
2568.88195783264,0.077
2574.37355885389,0.078
2580.89115357154,0.079
2588.9248031812,0.08
2594.50431752907,0.081
2598.88138373133,0.082
2606.13389137867,0.083
2613.66881203246,0.084
2620.42666527997,0.085
2624.81316495999,0.086
2631.8126492771,0.087
2633.7316855287,0.088
2642.26915668336,0.089
2648.90204562197,0.09
2655.05024596384,0.091
2662.43549890465,0.092
2664.87479697354,0.093
2672.96702983476,0.094
2677.06399176854,0.095
2681.33300537797,0.096
2686.1928439037,0.097
2693.50310199254,0.098
2700.29512590747,0.099
2705.57740518523,0.1
2710.79928702832,0.101
2714.26733980961,0.102
2718.49164640416,0.103
2723.96826373469,0.104
2731.09585161083,0.105
2734.71026294968,0.106
2741.20971807244,0.107
2747.17670133925,0.108
2752.98274624222,0.109
2760.29954276437,0.11
2761.7830172019,0.111
2768.05758309043,0.112
2775.66763759914,0.113
2778.76801109758,0.114
2785.43268422085,0.115
2788.27037138457,0.116
2792.99306651657,0.117
2802.10995742807,0.118
2802.87049636526,0.119
2808.48594115482,0.12
2814.35309517901,0.121
2822.16365332729,0.122
2822.69136626237,0.123
2828.96531892956,0.124
2837.23086474299,0.125
2837.77672611051,0.126
2846.33013491502,0.127
2849.93197708979,0.128
2853.22542575777,0.129
2859.37538973696,0.13
2863.84154010262,0.131
2868.28310618238,0.132
2875.95562799571,0.133
2879.75099142707,0.134
2886.36170361957,0.135
2887.16617949918,0.136
2893.21879234905,0.137
2900.78589159871,0.138
2901.59609744466,0.139
2907.55960436386,0.14
2913.98879204192,0.141
2919.64611474402,0.142
2924.12965380853,0.143
2927.86859835936,0.144
2931.93013653413,0.145
2938.78795587678,0.146
2941.27209441285,0.147
2944.17652052457,0.148
2950.1045763133,0.149
2953.99121597328,0.15
2958.95976199268,0.151
2966.537108058,0.152
2970.38024704522,0.153
2975.14858526663,0.154
2979.11105462344,0.155
2982.84434124109,0.156
2987.49822209375,0.157
2992.1492467371,0.158
2997.2093073899,0.159
3003.37113088408,0.16
3004.71884067826,0.161
3010.73212075755,0.162
3013.48604970657,0.163
3018.59133067161,0.164
3025.94926195065,0.165
3030.63577707905,0.166
3032.66550417819,0.167
3039.27533937457,0.168
3042.20517545588,0.169
3046.86400652845,0.17
3049.46025447654,0.171
3053.34663075154,0.172
3060.04592741432,0.173
3064.42542496604,0.174
3069.66335232638,0.175
3073.29512223226,0.176
3078.05257869535,0.177
3080.20299464883,0.178
3087.99661648614,0.179
3090.25838361292,0.18
