"","Reporting","Median_IFR","Lower_95","Upper_95"
"100%",1,0.318708470592792,0.0980756952821028,0.739063496309853
"80%",0.8,0.398385588240989,0.122594619102628,0.923829370387317
"60%",0.6,0.531180784321319,0.163459492136838,1.23177249384976
"40%",0.4,0.796771176481979,0.245189238205257,1.84765874077463
