a,Rstar,R0,psi,pi,mean_nz,meannh
1.63130062026819e-05,1.53598309220299,0.0268366685322903,78.1907034551961,5.849322542528e-06,2712.51504339234,2863.84154010262
1.65661364384294e-05,1.29075854470037,0.00816794113779016,18.4576600349009,3.76238559372894e-06,11738.0980806109,12392.9461578253
2.10455299135717e-05,1.58179346570538,0.0422560878232209,39.9545016409147,8.08201830297708e-06,5341.48366227807,5639.47574597795
1.79001504282709e-05,1.16380269616485,0.094983169954575,30.5892051583181,2.78376772595609e-06,7004.29577175235,7395.05325110493
2.2875069770054e-05,1.23368935899094,0.0317277995835155,70.1816787929083,4.47494558509741e-06,3024.29437357956,3193.01449687961
1.67986317570694e-05,1.04309554349528,0.0185743479044116,26.1001692507812,7.07159424720083e-07,8232.80081893558,8692.09445827519
1.2251447790795e-05,1.4386465270906,0.0240364882910147,47.3511529614723,3.8274447745682e-06,4498.12394062738,4749.06645221343
1.90395394542553e-05,1.7433436152189,0.020843956725381,77.4018671404952,8.29091817247776e-06,2740.33999024645,2893.21879234905
2.12725360838994e-05,1.16856167445462,0.0724062531565148,46.1794160250293,3.30794731013569e-06,4613.51581993267,4870.89584377753
2.29171315767188e-05,1.7627120452749,0.00726725214672526,61.5892672452441,9.98842666340536e-06,3449.68940683545,3642.14157920097
1.78074389706692e-05,1.20657476126997,0.0175766576024498,81.8591099875489,3.10325825571329e-06,2590.20711296219,2734.71026294968
2.1092008701562e-05,1.62632498474501,0.0848905898321255,65.5682910082305,8.87619747419261e-06,3238.72714180741,3419.41009630903
2.2588441455164e-05,1.09921130599164,0.0486991336523276,41.4157480765229,2.14307808032374e-06,5150.70094219138,5438.04958974373
1.80586379483202e-05,1.04564314907209,0.0253963658299512,63.1763384655664,8.08799757279926e-07,3362.33366449012,3549.91241191783
2.08330892264787e-05,1.67871959601525,0.0211768147885381,56.9802360556148,8.60502883328759e-06,3731.21311368762,3939.37100403712
2.11175885013649e-05,1.20299669867702,0.0285140147732139,65.6178413894967,3.66794517620897e-06,3236.26258721598,3416.80804850326
1.53218110850751e-05,1.35840800829622,0.117205069631764,42.4198000916734,4.5792034877584e-06,5027.32086631505,5307.78635401481
2.18262542326972e-05,1.59483180134037,0.0382505925316236,90.2988471904464,8.46421277314249e-06,2346.76141984482,2477.68315800994
1.4688923187579e-05,1.30550608786791,0.0588564453759647,52.6618774653081,3.6523145843656e-06,4040.12962914933,4265.52143463403
1.31515958760101e-05,1.1633089164807,0.00196070648420482,35.3836093815117,1.84986456370883e-06,6041.48278650683,6378.52660392073
1.96591464196639e-05,1.57015676435874,0.041272820220121,46.4643327460948,7.4458081099212e-06,4584.91599631353,4840.70048573902
1.56611007292662e-05,1.06708055253673,0.00225750752225463,44.5689455518395,9.86725683070468e-07,4782.1279174318,5048.91451694882
2.19276372261783e-05,1.50294339598711,0.0777440127102925,69.1185011887673,7.95620972768322e-06,3071.15454883268,3242.48891981168
1.26581497638524e-05,1.31860378527064,0.00560214825481208,22.6950408943073,3.07567987616642e-06,9496.26327662344,10026.0432890848
1.69668243140392e-05,1.17240778633446,0.00340238784055388,29.2417805398465,2.50352251509544e-06,7332.72436333081,7741.80430261007
1.4918254130845e-05,1.31550595988759,0.0115965586666003,57.7734472712734,3.61986126923464e-06,3679.53486382746,3884.8097144952
1.47775091321077e-05,1.16793941112208,0.0472973404280027,37.2306588426721,2.23033133832567e-06,5737.64036467212,6057.73334180949
2.01933187171603e-05,1.31116688097855,0.0391473216513826,92.7965385587166,4.9874330121396e-06,2283.25305747792,2410.63177455927
1.81555742339585e-05,1.61457208677543,0.00618015496014439,58.0952804772231,6.95360093603899e-06,3658.97317623546,3863.10092611298
1.94070171702588e-05,1.4558472041562,0.0168277643089923,38.3896648275166,6.1805064552161e-06,5562.11113948319,5872.41164642475
1.88076517670508e-05,1.08621787121504,0.0666355861397907,68.9634989771634,1.59939188119464e-06,3078.10792782195,3249.83021572157
1.44903496818496e-05,1.84285964359883,0.0108082089052403,34.8965548316223,6.69969404213442e-06,6127.0420348096,6468.8590538831
2.20763365630796e-05,1.24909054043144,0.0602720704382986,60.6134194482858,4.68465760444991e-06,3505.6923069914,3701.26878375731
1.32065768220434e-05,1.71887573596016,0.00590472729799905,60.5297435389947,5.55604576761754e-06,3510.57914361938,3706.42824850167
1.97637771207383e-05,1.0510933564775,0.0349995955339648,60.0110626890119,9.95535344132834e-07,3541.17774848737,3738.73389631866
2.16824313622573e-05,1.70427421527523,0.0786606119496278,49.6480132841194,9.72478651825609e-06,4287.89585615135,4527.11010852963
1.88758240888054e-05,1.28292072811944,0.00780106701814238,47.1949229426662,4.19530785533701e-06,4513.17473346084,4764.95690260298
1.72509191004233e-05,1.0073059790615,0.109375007143219,108.784187933837,1.40483703868579e-07,1946.13631103797,2054.70787114322
2.31424013102492e-05,1.44396099975383,0.104021561141291,62.8420879956634,7.94124511294536e-06,3380.36176891846,3568.94627293805
1.33481486336198e-05,1.58357031106291,0.0916723814715723,34.9552220877121,5.41536499389847e-06,6116.60799202781,6457.84291400123
1.76503027713038e-05,1.59409829962545,0.0890280012474018,61.415886154137,7.22073857348264e-06,3459.50848319687,3652.50844475541
2.26085099623986e-05,1.40097490991255,0.0819540891503603,31.6212544962459,7.04828428562882e-06,6771.97723274095,7149.77406484659
1.41898809703728e-05,1.11797743562554,0.0403460674666917,70.8000327048475,1.56035554854748e-06,2997.69200184692,3164.92802509441
2.05916588749085e-05,1.13704996011013,0.0245497188268669,60.7257929651639,2.54434715554357e-06,3499.15083907286,3694.36237872041
2.16377342282748e-05,1.20038781293711,0.000576809935117184,129.618659692922,3.61412098065515e-06,1632.10605040619,1723.15840842694
1.22296504474282e-05,1.78438054719884,0.00844569186601975,53.4634583402829,5.42165023480704e-06,3978.98021347668,4200.96059941103
1.85076564629339e-05,1.29558530560215,0.167717973814281,37.5933702361533,5.07326606223643e-06,5681.52896839165,5998.49158831853
1.97149829093283e-05,1.06756738280593,0.0269511210804495,31.3466677861179,1.2823150372738e-06,6832.26962172396,7213.43006135144
1.90765029181279e-05,1.15392539719728,0.0230059185659365,84.4945819879975,2.6045390641165e-06,2508.93303508855,2648.90204562197
2.27702230335753e-05,1.24402859748099,0.0381366177432806,22.0691666826024,4.64359026206085e-06,9771.91446646141,10317.0725793959
1.39355538631137e-05,1.24694820343566,0.0655407563856977,24.4734119375315,2.95334893010889e-06,8791.60866680794,9282.07722411112
2.22899654078353e-05,1.25928316826866,0.0312022541518032,49.5788129648205,4.73715006440317e-06,4293.94213678925,4533.49370064873
1.41067932997411e-05,1.10704388145227,0.0973845109177787,69.7301051558197,1.51117818393389e-06,3044.02190314884,3213.84259101378
1.66988978797691e-05,1.47326608314297,0.0674746075007137,47.7380718172335,5.75232447620929e-06,4461.27782435313,4710.16475519438
2.02075878184056e-05,1.66037335665547,0.00883924454862947,80.569182874111,8.10858881799796e-06,2631.93683262569,2778.76801109758
1.92226634141486e-05,1.46574771062188,0.0929133279392413,66.3065419548309,6.73359167407672e-06,3202.39206249186,3381.04794611183
1.48720046225125e-05,1.26120401743605,0.000809552828504234,51.2134720496782,3.0825439259634e-06,4155.52538757692,4387.35492172993
1.77547417696165e-05,1.44302477467131,0.0293030220891087,33.6871605002407,5.61535078585304e-06,6350.35465347694,6704.62989516434
2.33174685524991e-05,1.2295650050792,0.00715343622707289,56.3222481040439,4.38473386671814e-06,3775.19600402612,3985.8076233333
1.42030748435743e-05,1.45294358721402,0.0139608448472054,35.0213462947281,4.49032002268466e-06,6104.89024271318,6445.47145183164
1.8861069866742e-05,1.21623981788511,0.0349294326665299,59.8516401081844,3.47468276731794e-06,3550.69004450549,3748.776866788
