"Scenario","Mean","Median","Lower95","Upper95","Median_proxy","proxy_Lower95","proxy_Upper95"
"R0 rate = 15",7831.74839249968,6456.45793737863,2766.18668461706,20987.2771518794,0.258427718357155,0.0791182285001473,0.599433752690419
"R0 rate = 25",7777.69686144688,6420.5991772336,2750.4006581657,20729.0842210504,0.25992431747396,0.0793700999066157,0.602976010509486
"Rstar mode = 1.05",8124.27402608828,6711.80853382936,2868.30677561984,21890.0288979131,0.248723717641102,0.0759799757237413,0.578496108703137
"Rstar mode = 1.20",7195.36584600619,5951.0143925036,2550.14407521607,19313.2287205552,0.280514510259351,0.0857198538493323,0.652722494019145
"a half",15608.3346444011,12894.1028293683,5543.55868098208,41651.9120658341,0.129296878045025,0.0393264402495603,0.299160718054386
"a double",3950.78379473412,3225.26961681091,1379.8728269425,10458.5666916363,0.517186605825524,0.158376616237082,1.19666655416531
